id,group_id,formula,smiles,heavy_atoms,formation_energy_hartree,formation_energy_kcalmol,energy_rel_kcalmol,source
104084404,C20H22N2O2,C20H22N2O2,[H:26][c:6]1[c:7]([c:10]([c:15]([c:11]([c:8]1[H:28])[H:31])[C:21]([H:40])([H:41])[N:18](/[C:5](=[N:2]/[c:14]2[c:9]([c:12]([c:16]3[c:17]([c:13]2[H:33])[C:23]([C:24]([C:22]3([H:42])[H:43])([H:45])[H:46])([H:44])[O:3][C:4](=[O:1])[C:19]([H:34])([H:35])[H:36])[H:32])[H:29])/[H:25])[C:20]([H:37])([H:38])[H:39])[H:30])[H:27],24,-8.137536293798803,-5106.377262185393,0.0,SPICE-2.0.1/PubChem
104156377,C20H22N2O2,C20H22N2O2,[N:1]1=[C:4]([C:21]([H:39])([H:40])[H:41])[C:5]([H:26])=[C:6]([C:23]([C:24]([O:3][H:25])([c:18]2[c:14]([H:34])[c:8]([H:28])[c:7]([H:27])[c:9]([H:29])[c:15]2[H:35])[H:46])([H:44])[H:45])[N:19]1[C:22]([c:17]1[c:12]([H:32])[c:10]([H:30])[c:16]([O:2][C:20]([H:36])([H:37])[H:38])[c:11]([H:31])[c:13]1[H:33])([H:42])[H:43],24,-8.113075261719814,-5091.027744406539,15.349517778854533,SPICE-2.0.1/PubChem
104001983,C20H22N2O2,C20H22N2O2,[H:27][c:11]1[c:12]([c:14]([c:16]([c:15]([c:13]1[H:29])[H:31])[C:22]([H:41])([H:42])[N:18]2[C:21](/[C:10](=[C:9](/[H:26])\[C:6]3=[C:8]([N:17]([C:7](=[C:5]3[C:3](=[O:1])[H:25])[C:19]([H:33])([H:34])[H:35])[H:32])[C:20]([H:36])([H:37])[H:38])/[C:4](=[O:2])[C:23]([C:24]2([H:45])[H:46])([H:43])[H:44])([H:39])[H:40])[H:30])[H:28],24,-8.10364591725579,-5085.110745891264,21.26651629412936,SPICE-2.0.1/PubChem
117644367,C20H22N2O2,C20H22N2O2,[O:1]=[C:4]([O:3]/[N:2]=[C:5](/[c:15]1[c:10]([H:29])[c:9]([H:28])[c:13]([H:32])[c:17](-[c:16]2[c:11]([H:30])[c:7]([H:26])[c:6]([H:25])[c:8]([H:27])[c:12]2[H:31])[c:14]1[H:33])[C:19]([H:34])([H:35])[H:36])[N:18]1[C:20]([H:37])([H:38])[C:22]([H:41])([H:42])[C:24]([H:45])([H:46])[C:23]([H:43])([H:44])[C:21]1([H:39])[H:40],24,-8.094829224964542,-5079.578192128275,26.799070057118115,SPICE-2.0.1/PubChem
104011301,C20H22N2O2,C20H22N2O2,[O:1]=[N:2][C:17]1([H:32])[c:14]2[c:9]([H:30])[c:5]([H:26])[c:4]([H:25])[c:7]([H:28])[c:12]2-[c:13]2[c:8]([H:29])[c:6]([H:27])[c:11]([O:3][C:24]3([H:46])[C:20]([H:38])([H:39])[N:16]([C:18]([H:33])([H:34])[H:35])[C:19]([H:36])([H:37])[C:21]([H:40])([H:41])[C:22]([H:42])([H:43])[C:23]3([H:44])[H:45])[c:10]([H:31])[c:15]21,24,-8.031564020021733,-5039.878706639818,66.49855554557507,SPICE-2.0.1/PubChem
104034041,C20H25N3O2,C20H25N3O2,[H:30][c:10]1[c:9]([c:14]([c:12]([c:11]([c:15]1[C:19]([H:35])([H:36])[O:3][H:26])[H:31])[c:5]2[c:7]([c:8]([c:13]3[c:6]([n:2]2)[N:16]([C:4](=[O:1])[N:17]3[C:24]([H:49])([H:50])[C:25]([C:21]([H:40])([H:41])[H:42])([C:22]([H:43])([H:44])[H:45])[C:23]([H:46])([H:47])[H:48])[C:20]([H:37])([H:38])[H:39])[H:28])[H:27])[C:18]([H:32])([H:33])[H:34])[H:29],25,-8.662297560216984,-5435.669679714199,0.0,SPICE-2.0.1/PubChem
104022262,C20H25N3O2,C20H25N3O2,[O:1]=[C:3]1[c:11]2[c:9]([H:28])[c:7]([H:26])[c:8]([H:27])[c:10]([H:29])[c:12]2[C:6]2=[C:5]([N:13]1[H:30])[C:16]([H:31])([H:32])[N:14]([C:4](=[O:2])[C:18]([C:20]([N:15]1[C:21]([H:41])([H:42])[C:23]([H:45])([H:46])[C:25]([H:49])([H:50])[C:24]([H:47])([H:48])[C:22]1([H:43])[H:44])([H:39])[H:40])([H:35])[H:36])[C:19]([H:37])([H:38])[C:17]2([H:33])[H:34],25,-8.645618993550897,-5425.203729024131,10.465950690068894,SPICE-2.0.1/PubChem
104076674,C20H25N3O2,C20H25N3O2,[H:26][c:10]1[c:11]([c:13]([c:15]([c:14]([c:12]1[H:28])[H:30])[N:16]([H:31])[C:4](=[O:1])[O:3]/[N:2]=[C:9]\2/[C:5]3=[C:8]([C:23]([C:25]([C:24]2([H:47])[H:48])([H:49])[H:50])([H:45])[H:46])[N:17]([C:7](=[C:6]3[C:21]([H:41])([H:42])[C:19]([H:35])([H:36])[H:37])[C:22]([H:43])([H:44])[C:20]([H:38])([H:39])[H:40])[C:18]([H:32])([H:33])[H:34])[H:29])[H:27],25,-8.587699482350672,-5388.858714470388,46.81096524381155,SPICE-2.0.1/PubChem
104096992,C20H25N3O2,C20H25N3O2,[H:27][c:7]1[c:6]([c:8]([c:10]2[c:11]([c:9]1[H:29])[C:15]([C:16]([C:14]([O:4]2)([H:32])[H:33])([H:35])[H:36])([H:34])[N:12]3[C:21]([C@@:24]([C@@:25]([C:22]3([H:46])[H:47])([H:50])[N:13]([H:30])[H:31])([H:49])[C:5](=[O:2])[C:20]4([C@:23]([C:19]([C:17]([C:18]4([H:39])[H:40])([H:37])[H:38])([H:41])[H:42])([H:48])[C:3]#[N:1])[H:43])([H:44])[H:45])[H:28])[H:26],25,-8.582875672829232,-5385.831730581399,49.83794913280053,SPICE-2.0.1/PubChem
104054104,C20H22O6,C20H22O6,[O:1]=[C:7]1[O:3][c:13]2[c:10]([H:31])[c:18]([C:21]([H:36])([H:37])[H:38])[c:9]([H:30])[c:12]([O:2][H:27])[c:14]2[O:4][c:15]2[c:8]([H:29])[c:11]([H:32])[c:19]([C@@:26]([O:6][H:28])([C:25]([C:24]([C:22]([H:39])([H:40])[H:41])([C:23]([H:42])([H:43])[H:44])[H:45])([H:46])[H:47])[H:48])[c:16]([O:5][C:20]([H:33])([H:34])[H:35])[c:17]21,26,-8.423628912712047,-5285.902955387024,0.0,SPICE-2.0.1/PubChem
