Element,D,A,Role,Avg_Complexity,Max_Complexity,Avg_Size,C_total_v1_mean,C_total_v1_std,C_total_fdm_mean,C_total_fdm_std,C_norm_v1_mean,C_norm_v1_std,C_norm_fdm_mean,C_norm_fdm_std
H,0.0,1.237,terminator,0.44378950020192365,0.44378950020192365,2.0,0.44378950020192365,0.0,1.9211838203770515,0.0,0.13999999999999999,0.0,0.6060660171779821,0.0
Li,0.19328125000000002,0.0,terminator,1.987525235147171,2.988786316072858,5.666666666666667,1.987525235147171,1.1075381892252534,4.287790618240116,1.690580432836757,0.12611110785525512,0.00987896233862972,0.3599764599576472,0.1741878119433332
Be,0.3125821797312461,0.0,bridge,2.4471100156568326,5.2882644599062045,6.25,2.4471100156568326,2.0890849513033465,3.665891200432553,1.7876388930346243,0.12998105723216008,0.010037864289311627,0.37723302365238254,0.22905169209735102
B,0.0,1.237,hub,3.406167838287311,8.605801057983593,8.4,3.406167838287311,2.890545782591506,4.407833108149314,1.3832930167877,0.11962495184970193,0.004877569433570231,0.24004782249832682,0.11359112795925463
C,0.0,1.237,hub,10.096071485187897,13.686112834019584,19.6,10.096071485187897,2.5040212803189132,6.723924040011509,0.555230569134332,0.11777257793769244,0.0025577629215778404,0.08315499874487513,0.019803529374898075
N,0.0,1.237,hub,6.92365957361397,13.686112834019584,13.8,6.92365957361397,5.370647516452958,5.0511464650817555,2.343114053795076,0.12368716648500393,0.009797784406115971,0.24805093593010402,0.22142538235888207
O,0.0,1.237,bridge,1.8614736641335,4.028315766963421,5.25,1.8614736641335,1.5134223459991532,3.64787053528313,1.7323265088054034,0.1292301562378762,0.01086376574110219,0.40493166820363746,0.20339092367820563
F,0.0,1.237,terminator,3.2991964997884815,5.983892423889943,8.0,3.2991964997884815,2.1277008984263053,5.112637411213531,1.7212041171834016,0.124822948742554,0.0038200292225535515,0.2757262110122078,0.1382331152682579
Na,0.19328125000000002,0.0,terminator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mg,0.31258217973124613,0.0,bridge,3.8629043989704264,13.784038610477849,8.0,3.8629043989704264,5.729613796984548,3.488887970518407,2.413288469732562,0.13182499753906393,0.009326946478629208,0.4218891982559281,0.22094490599240868
Al,0.0,1.237,hub,8.393645086179605,13.881964386936113,16.4,8.393645086179605,4.879435407730533,5.881707352382818,1.9076680337860783,0.12039198631447974,0.0048920573596898526,0.14934797003848355,0.1318387277766016
Si,0.0,1.237,hub,2.442306881674861,3.133697090475492,6.8,2.442306881674861,0.6008186694995737,4.087031651242086,0.39278782457713496,0.1202857095235402,0.0032563890884604136,0.21055571793571132,0.04004669095795103
P,0.0,1.237,hub,6.133719322480245,13.059330427992363,12.8,6.133719322480245,4.489739751113121,5.463094292712544,2.173532140605552,0.12190144278224282,0.006636067909722256,0.1789089376830329,0.10495654266710476
S,0.0,1.237,bridge,2.084654612187081,4.105191982446351,5.8,2.084654612187081,1.4631107866686917,3.9923745244281803,1.50346860836657,0.1245666626932895,0.004675707055662076,0.31393093628378,0.11681659180023975
Cl,0.0,1.237,terminator,0.6118947426009675,0.7799999850000113,2.5,0.6118947426009675,0.16810524239904384,2.356472574862371,0.43528875448531956,0.13499999875000093,0.005000001249999053,0.535679786034632,0.07038623114335019
K,0.19328125,0.0,terminator,5.983892423889943,5.983892423889943,13.0,5.983892423889943,0.0,6.93167499973948,0.0,0.12089742791132911,0.0,0.14004624736234714,0.0
Ca,0.3125821797312461,0.0,bridge,3.376556038945435,6.695808928837066,8.0,3.376556038945435,2.5085677369939288,4.528640220243879,2.171838855940529,0.12764714870833854,0.010239082896441693,0.327890071699427,0.22731257878840863
V,0.45823106727162394,0.0,hub,11.76076097495294,14.469519045685697,21.6,11.76076097495294,3.416564909118912,6.427094759269053,0.46620278489190725,0.11924193530714602,0.0031074456901811227,0.0715590380571666,0.02188982632783454
Cr,0.4463268634563143,0.0,hub,11.993127917729078,14.469519045685697,22.0,11.993127917729078,3.450234333994597,6.386101584972041,0.5102202129395796,0.11924165204849431,0.0028313685996013316,0.07106493510667562,0.026606974444966056
Fe,0.38905348521586,0.0,hub,10.954024296436724,14.469519045685697,19.8,10.954024296436724,4.33353714183043,5.880048324870093,0.9900412152493083,0.12586094110544818,0.005332182672620014,0.07955067798582009,0.032246070463705985
Co,0.3749039908649456,0.0,hub,9.57440909946335,14.175741716310904,18.0,9.57440909946335,4.107491618959943,5.731628095607288,1.1317821889134896,0.12632699142807113,0.010902728367194163,0.09156882942237862,0.0421170070370175
Ni,0.3668977634007878,0.0,hub,12.983122536769944,14.371593269227432,23.0,12.983122536769944,1.9157890146717749,6.418582056928263,0.22914762435307656,0.1229526916492772,0.0008350986635221351,0.062238117372618175,0.009957259240872584
Cu,0.36952823876342117,0.0,hub,11.266183370962953,14.273667492769167,20.8,11.266183370962953,3.3318126693267187,6.131718124755569,0.3473840717438446,0.12089167782694536,0.0011745218842563,0.07237363169042134,0.02258281147662109
Zn,0.4502256078390698,0.0,hub,11.781090457686526,14.469519045685697,21.6,11.781090457686526,2.114850367522266,6.354737432916222,0.16979205561988722,0.12080296320159001,0.002358736268382397,0.06712606217198468,0.01117795571691676
Ga,0.0,1.237,hub,8.205508870318003,13.686112834019584,16.4,8.205508870318003,4.670099011704949,5.926027809501612,1.5051438065528526,0.11826761284058347,0.0033540474626502725,0.12109724897084821,0.07194048294494308
Ge,0.0,1.2369999999999999,hub,4.8256433227901105,7.379232642846576,11.0,4.8256433227901105,2.0864217810746046,5.009649235678282,1.1872344699421633,0.12249053490909637,0.008049911306606913,0.14747390787570042,0.05357301339342723
As,0.0,1.237,hub,7.476751946291091,13.686112834019584,15.4,7.476751946291091,3.2834616824955294,6.603345340561242,0.4935461863765715,0.11857281357161902,0.0016574548398265478,0.11860827215256639,0.03288779249780956
Se,0.0,1.237,bridge,5.031481592634596,9.916423189349736,10.75,5.031481592634596,3.7207735709625047,5.274162289418799,2.331369612619224,0.12599957641210655,0.00823767609374601,0.25597480037942216,0.20620585042690565
Br,0.0,1.237,terminator,3.152223877580603,4.767999830199894,8.0,3.152223877580603,1.1614396240943512,5.498878505981767,0.8450166276718297,0.12290619786546823,0.001414312550789891,0.23066739133457226,0.04514103639393522
