Z,El,role,period,chi_spec,E_port,D_index,A_index
1,H,terminator,1,2.26371,1.83,0.0,1.237
2,He,inert,1,0.0,0.0,-0.0,0.0
3,Li,terminator,2,-0.26579811495001215,1.3751883069361985,0.19328125000000002,0.0
4,Be,bridge,2,-0.36017032066387267,1.1522420151191672,0.3125821797312461,0.0
5,B,hub,2,1.4116037852188463,1.141150998560102,0.0,1.237
6,C,hub,2,1.7055745257082264,1.3787991315345403,0.0,1.237
7,N,hub,2,1.9341880755536673,1.5636120255082193,0.0,1.237
8,O,bridge,2,2.397941581152393,1.938513808530633,0.0,1.237
9,F,terminator,2,5.523390257293875,4.465149763374192,0.0,1.237
10,Ne,inert,2,0.0,0.0,-0.0,0.0
11,Na,terminator,3,-0.20011885771267016,1.0353764667429983,0.19328125000000002,0.0
12,Mg,bridge,3,-0.2711714985895051,0.8675206591196423,0.31258217973124613,0.0
13,Al,hub,3,1.0627936059441343,0.8591702554115879,0.0,1.237
14,Si,hub,3,1.2841235758679101,1.0380950492060712,0.0,1.237
15,P,hub,3,1.4562462504824847,1.177240299500796,0.0,1.237
16,S,bridge,3,1.8054053173860145,1.4595030860032452,0.0,1.237
17,Cl,terminator,3,4.158549240271395,3.3618021344150315,0.0,1.237
18,Ar,inert,3,0.0,0.0,-0.0,0.0
19,K,terminator,4,-0.16361793214915865,0.8465277006908775,0.19328125,0.0
20,Ca,bridge,4,-0.221710839068987,0.7092881598676257,0.3125821797312461,0.0
21,Sc,inert,4,0.0,1.0859000695890009,-0.0,0.0
22,Ti,inert,4,0.0,1.0859000695890009,-0.0,0.0
23,V,hub,4,-0.49759314783809855,1.0859000695890009,0.45823106727162394,0.0
24,Cr,hub,4,-0.48466637208665214,1.0859000695890009,0.4463268634563143,0.0
25,Mn,inert,4,0.0,1.0859000695890009,-0.0,0.0
26,Fe,hub,4,-0.42247320666974564,1.0859000695890009,0.38905348521586,0.0
27,Co,hub,4,-0.40710826976943854,1.0859000695890009,0.3749039908649456,0.0
28,Ni,hub,4,-0.3984143068089642,1.0859000695890009,0.3668977634007878,0.0
29,Cu,hub,4,-0.4012707401883,1.0859000695890009,0.36952823876342117,0.0
30,Zn,hub,4,-0.4889000188831961,1.0859000695890009,0.4502256078390698,0.0
31,Ga,hub,4,0.86894405701436,0.7024608383301212,0.0,1.237
32,Ge,hub,4,1.0499042744345441,0.8487504239567859,0.0,1.2369999999999999
33,As,hub,4,1.1906324217881263,0.9625161049216866,0.0,1.237
34,Se,bridge,4,1.4761061905816222,1.1932952227822329,0.0,1.237
35,Br,terminator,4,3.400045528995548,2.748622092963256,0.0,1.237
36,Kr,inert,4,0.0,0.0,-0.0,0.0
37,Rb,terminator,5,-0.1399567633863128,0.7241093659437363,0.19328125000000002,0.0
38,Sr,bridge,5,-0.18964872026051116,0.6067163535156372,0.3125821797312461,0.0
49,In,hub,5,0.7432840409731755,0.6008763467851054,0.0,1.237
50,Sn,hub,5,0.8980751815232466,0.7260106560414281,0.0,1.237
51,Sb,hub,5,1.0184523049977334,0.8233244179448127,0.0,1.237
52,Te,bridge,5,1.2626430497848455,1.020730032162365,0.0,1.237
53,I,terminator,5,2.908357056917905,2.351137475277207,0.0,1.237
54,Xe,inert,5,0.0,0.0,-0.0,0.0
55,Cs,terminator,5,-0.1399567633863128,0.7241093659437363,0.19328125000000002,0.0
56,Ba,bridge,5,-0.18964872026051116,0.6067163535156372,0.3125821797312461,0.0
81,Tl,hub,5,0.7432840409731755,0.6008763467851054,0.0,1.237
82,Pb,hub,5,0.8980751815232466,0.7260106560414281,0.0,1.237
