Z,symbol,role,period,chi_spec,E_port,D_index,A_index,Avg_Complexity,Max_Complexity,Avg_Size,C_total_v1_mean,C_total_v1_std,C_total_fdm_mean,C_total_fdm_std,C_norm_v1_mean,C_norm_v1_std,C_norm_fdm_mean,C_norm_fdm_std,N_min,N_max,N_best,band_width,N_best_map,F_min,Nbest_over_Z,neutron_excess,is_living_hub,is_d_block,is_donor_plateau,is_strong_acceptor_plateau
1,H,terminator,1,2.26371,1.83,0.0,1.237,3.9902830261566153,4.846868961837738,9.5,3.9902830261566153,0.856585935681123,6.09276162849301,0.7277743072444243,0.1232402515627133,0.0003311692536176,0.1922581749174624,0.0192999581143728,1.0,2.0,2.0,1.0,2.0,-7.120390885284768,2.0,1.0,False,False,False,True
2,He,inert,1,0.0,0.0,-0.0,0.0,,,,,,,,,,,,2.0,3.0,2.0,2.0,2.0,-26.575605980910236,1.0,0.0,False,False,False,False
3,Li,terminator,2,-0.2657981149500121,1.3751883069361983,0.19328125,0.0,2.566580592430844,7.165713832653303,6.2,2.566580592430844,2.749580438237321,3.850549239119382,2.393272779011678,0.1329523775162528,0.0088311999677611,0.4236449421034786,0.2241001817794942,3.0,5.0,4.0,1.0,4.0,-41.91266715080901,1.3333333333333333,1.0,False,False,True,False
4,Be,bridge,2,-0.3601703206638726,1.1522420151191672,0.3125821797312461,0.0,3.6288581103070343,13.686112834019584,8.277777777777779,3.6288581103070343,3.888852573556792,4.402664632980988,2.1615596544167177,0.1268959715282894,0.0091499341986649,0.3229863780805566,0.2024650551653537,4.0,7.0,7.0,2.0,7.0,-69.0067900585032,1.75,3.0,False,False,True,False
5,B,hub,2,0.1411603785218846,1.141150998560102,0.0,0.1237,5.977408845225776,13.881964386936112,12.75,5.977408845225776,4.24371660734804,5.649501379967717,1.5536446076315935,0.1189950596136228,0.0039488660684254,0.1591617086946313,0.0733314728314723,5.0,9.0,8.0,2.0,9.0,-86.32620846414397,1.6,3.0,False,False,False,False
6,C,hub,2,1.7055745257082264,1.3787991315345405,0.0,1.237,8.95447911713201,14.07781593985264,17.45,8.95447911713201,4.121405722030326,6.078546942739633,1.4129439187821553,0.1198001258682112,0.0046556801969324,0.1147193180597798,0.0866474023527352,6.0,10.0,10.0,1.0,10.0,-116.71408279426504,1.6666666666666667,4.0,True,False,False,True
7,N,hub,2,1.934188075553668,1.563612025508219,0.0,1.237,6.499490730391374,13.784038610477849,13.6,6.499490730391374,4.271652046760875,5.724743987117796,1.4319078838026773,0.1197068177941167,0.0043178171521947,0.1492410733606421,0.0759199683444232,7.0,12.0,10.0,3.0,12.0,-136.15577583180053,1.4285714285714286,3.0,True,False,False,True
8,O,bridge,2,2.397941581152393,1.938513808530633,0.0,1.237,2.73719229167283,13.686112834019584,6.7368421052631575,2.73719229167283,3.362267153140727,3.9483587711301142,1.7340379166105528,0.1258530507778989,0.0079062822206055,0.3374729372455612,0.1696098302144291,8.0,14.0,12.0,3.0,14.0,-155.9742512273564,1.5,4.0,False,False,False,True
9,F,terminator,2,5.523390257293875,4.465149763374192,0.0,1.237,0.9481425127138664,3.133697090475492,3.1666666666666665,0.9481425127138664,0.9850895531981082,2.6636175606690844,1.3099550097605943,0.1355952363860554,0.0064998283185746,0.5177741872879287,0.1439609261312996,9.0,16.0,16.0,1.0,16.0,-187.92591909549665,1.7777777777777777,7.0,False,False,False,True
10,Ne,inert,2,0.0,0.0,-0.0,0.0,,,,,,,,,,,,10.0,18.0,18.0,1.0,18.0,-219.40182086299976,1.8,8.0,False,False,False,False
11,Na,terminator,3,-0.2001188577126701,1.0353764667429983,0.19328125,0.0,3.3248923710349585,5.2882644599062045,8.25,3.3248923710349585,1.60144299001378,5.381563601458223,1.2199563383896443,0.1220584355818227,0.0024320783700666,0.238700665096003,0.0905086685215066,11.0,19.0,19.0,1.0,19.0,-233.82174811686883,1.7272727272727273,8.0,False,False,True,False
