Scenario,Seed,Avg_Complexity,Max_Complexity,Avg_Size,Max_Size
Donor-only,Li,0.5316340370414667,10.51382013736732,1.96,20
Donor-only,Na,1.324938441868778,12.533619370325965,3.42,23
Donor-only,K,0.9076298955354111,9.916423189349736,2.78,19
Donor-only,Be,3.162977809423809,14.077815939852641,7.5,25
Donor-only,Mg,3.752190598169743,11.821574455334465,8.54,22
Donor-only,Ca,2.908731616178745,11.53723642417842,7.12,22
Acceptor-only,C,8.780096838796386,14.077815939852641,17.26,25
Acceptor-only,N,7.070702123679856,14.175741716310904,14.56,25
Acceptor-only,O,3.2632221596924222,13.686112834019584,7.54,25
Acceptor-only,F,0.9465518446972783,8.563982865281583,2.9,17
Acceptor-only,Si,9.656069706296538,14.175741716310904,18.6,25
Acceptor-only,P,6.2171073795650855,13.588187057561319,13.2,25
Acceptor-only,S,3.363279165964239,10.836418247988542,7.88,21
Acceptor-only,Cl,0.9419140765464538,8.386761146869322,2.94,17
Mixed,C,9.310834108258101,14.175741716310904,17.96,25
Mixed,N,6.365324511103722,13.979890163394375,13.42,25
Mixed,O,3.1273987829074765,12.341884675066218,7.48,23
Mixed,Si,8.604439731866176,14.175741716310904,16.94,25
Mixed,P,6.385526959741167,13.979890163394375,13.42,25
Mixed,S,4.54593852289857,13.784038610477849,9.96,25
