Z,El,role,period,chi_spec,E_port,D_index,A_index,N_min,N_max,N_best,A_best,N_over_Z,F_min,band_width,allowed_N,living_hub
1,H,terminator,1,2.26371,1.83,0.0,1.237,1,2,2,3,2.0,-3.05459177272801,1,2,False
2,He,inert,1,0.0,0.0,-0.0,0.0,2,3,2,4,1.0,-24.75950956760795,2,2;3,False
3,Li,terminator,2,-0.26579811495001215,1.3751883069361985,0.19328125000000002,0.0,3,5,4,7,1.3333333333333333,-38.771302071523706,2,4;5,False
4,Be,bridge,2,-0.36017032066387267,1.1522420151191672,0.3125821797312461,0.0,4,7,6,10,1.5,-62.39737470193259,2,6;7,False
5,B,hub,2,0.14116037852188465,1.141150998560102,0.0,0.12370000000000002,5,9,8,13,1.6,-79.06932487504298,2,8;9,False
6,C,hub,2,1.7055745257082264,1.3787991315345403,0.0,1.237,6,10,10,16,1.6666666666666667,-107.5463502937754,3,8;9;10,True
7,N,hub,2,1.9341880755536673,1.5636120255082193,0.0,1.237,7,12,10,17,1.4285714285714286,-125.78150833785743,3,10;11;12,True
8,O,bridge,2,2.397941581152393,1.938513808530633,0.0,1.237,8,14,12,20,1.5,-148.14580821616474,4,10;11;12;13,False
9,F,terminator,2,5.523390257293875,4.465149763374192,0.0,1.237,9,16,16,25,1.7777777777777777,-172.7196565306801,1,16,False
10,Ne,inert,2,0.0,0.0,-0.0,0.0,10,18,18,28,1.8,-202.23763182545915,1,18,False
11,Na,terminator,3,-0.20011885771267016,1.0353764667429983,0.19328125000000002,0.0,11,19,19,30,1.7272727272727273,-218.08255673597824,2,18;19,False
12,Mg,bridge,3,-0.2711714985895051,0.8675206591196423,0.31258217973124613,0.0,12,21,20,32,1.6666666666666667,-239.51887375885315,2,20;21,False
13,Al,hub,3,0.10627936059441344,0.8591702554115879,0.0,0.12370000000000002,13,23,22,35,1.6923076923076923,-252.4677716982849,4,20;21;22;23,False
14,Si,hub,3,1.2841235758679101,1.0380950492060712,0.0,1.237,14,25,25,39,1.7857142857142858,-267.0759242082243,4,22;23;24;25,True
15,P,hub,3,1.4562462504824847,1.177240299500796,0.0,1.237,15,27,27,42,1.8,-302.5008043963835,2,26;27,True
16,S,bridge,3,1.8054053173860145,1.4595030860032452,0.0,1.237,16,28,28,44,1.75,-336.87155872753266,2,27;28,False
17,Cl,terminator,3,4.158549240271395,3.3618021344150315,0.0,1.237,17,30,30,47,1.7647058823529411,-363.35900666305065,3,28;29;30,False
18,Ar,inert,3,0.0,0.0,-0.0,0.0,18,32,30,48,1.6666666666666667,-389.01082205881136,5,28;29;30;31;32,False
19,K,terminator,4,-0.16361793214915865,0.8465277006908775,0.19328125,0.0,19,34,32,51,1.6842105263157894,-408.5097266460288,5,30;31;32;33;34,False
20,Ca,bridge,4,-0.221710839068987,0.7092881598676257,0.3125821797312461,0.0,20,36,32,52,1.6,-429.11839144579346,5,30;31;32;33;34,False
31,Ga,hub,4,0.086894405701436,0.7024608383301212,0.0,0.12370000000000002,31,55,54,85,1.7419354838709677,-682.2878072736479,5,51;52;53;54;55,False
32,Ge,hub,4,1.0499042744345441,0.8487504239567859,0.0,1.2369999999999999,32,57,54,86,1.6875,-694.8847775722583,5,52;53;54;55;56,True
33,As,hub,4,1.1906324217881263,0.9625161049216866,0.0,1.237,33,59,54,87,1.6363636363636365,-702.1369661091874,5,52;53;54;55;56,True
34,Se,bridge,4,1.4761061905816222,1.1932952227822329,0.0,1.237,34,61,54,88,1.588235294117647,-709.2363426502741,6,52;53;54;55;56;57,False
35,Br,terminator,4,3.400045528995548,2.748622092963256,0.0,1.237,35,63,54,89,1.542857142857143,-711.0807396596933,6,52;53;54;55;56;57,False
36,Kr,inert,4,0.0,0.0,-0.0,0.0,36,64,56,92,1.5555555555555556,-713.7096132614204,6,53;54;55;56;57;58,False
37,Rb,terminator,5,-0.1399567633863128,0.7241093659437363,0.19328125000000002,0.0,37,66,56,93,1.5135135135135136,-711.3166152159647,5,54;55;56;57;58,False
38,Sr,bridge,5,-0.18964872026051116,0.6067163535156372,0.3125821797312461,0.0,38,68,56,94,1.4736842105263157,-708.791591970707,5,54;55;56;57;58,False
