idx,E,degeneracy,ell,N_cum
0,-39.63267406106985,2,0,2
1,-39.24861666273238,6,1,8
2,-38.763932070156294,10,2,18
3,-38.53148357601196,2,0,20
4,-38.18309318501015,14,3,34
5,-37.780504757144215,6,1,40
6,-37.50901930056061,18,4,58
7,-36.92420562120168,10,2,68
8,-36.74381553333735,22,5,90
9,-36.69883796711331,2,0,92
10,-35.96582117774799,14,3,106
11,-35.582634273689095,6,1,112
12,-34.907870067749286,18,4,130
13,-34.359956516142795,10,2,140
14,-34.138926962964504,2,0,142
15,-33.752444506389516,22,5,164
16,-33.033388152076185,14,3,178
17,-32.65980199887849,6,1,184
18,-31.604916919968616,18,4,202
19,-31.07418248991787,10,2,212
20,-30.858047895901812,2,0,214
21,-30.076402611429398,22,5,236
22,-29.384585190173564,14,3,250
23,-29.019358226642684,6,1,256
24,-27.592603110774153,18,4,274
25,-27.074902469594758,10,2,284
26,-26.86524646013716,2,0,286
27,-25.699951361355375,22,5,308
28,-25.02765146292822,14,3,322
29,-24.671955297085205,6,1,328
30,-22.878982806801883,18,4,346
31,-22.374567456202495,10,2,356
32,-22.173639489048554,2,0,358
33,-20.630692252661593,22,5,380
34,-19.977131118133684,14,3,394
35,-19.63349201137405,6,1,400
36,-17.48117225010627,18,4,418
37,-16.992748890304856,10,2,428
38,-16.803510871867235,2,0,430
39,-14.889149327041975,22,5,452
40,-14.2576786156127,14,3,466
41,-13.930153711372952,6,1,472
42,-11.43123226061222,18,4,490
43,-10.964700586729004,10,2,500
44,-10.791381829281388,2,0,502
45,-8.51891927216057,22,5,524
46,-7.919615588719101,14,3,538
47,-7.616034386291706,6,1,544
48,-4.807538225313411,18,4,562
49,-4.380441120894839,10,2,572
50,-4.23243050154528,2,0,574
51,-1.6626575792032066,22,5,596
52,-1.1531812654933362,14,3,610
53,-0.9196387485286629,6,1,616
