N,topology,aut_size,g,mode,energy,p_exact
8,"tree:0-1,0-2,1-3,2-4,3-5,4-6,6-7",2,20160.0,A,4.817841000766638,0.05643690253261329
8,"tree:0-1,0-2,1-3,2-4,3-5,4-6,6-7",2,20160.0,B,4.817841000766638,0.05643690253261329
8,"tree:0-1,0-2,1-3,2-4,3-5,4-6,6-7",2,20160.0,C,4.817841000766638,0.05643690253261329
8,"tree:0-1,0-2,1-3,2-4,3-5,4-6,4-7",2,20160.0,A,4.774616912004339,0.05892982525389631
8,"tree:0-1,0-2,1-3,2-4,3-5,4-6,4-7",2,20160.0,B,4.774616912004339,0.05892982525389631
8,"tree:0-1,0-2,1-3,2-4,3-5,4-6,4-7",2,20160.0,C,4.774616912004339,0.05892982525389631
8,"tree:0-1,0-2,1-3,1-4,2-5,4-6,5-7",1,40320.0,A,4.675378232544256,0.130155930043492
8,"tree:0-1,0-2,1-3,1-4,2-5,4-6,5-7",1,40320.0,B,4.675378232544256,0.130155930043492
8,"tree:0-1,0-2,1-3,1-4,2-5,4-6,5-7",1,40320.0,C,4.675378232544256,0.130155930043492
8,"tree:0-1,0-2,1-3,1-4,2-5,5-6,5-7",8,5040.0,A,4.702576764067173,0.015832948555925312
8,"tree:0-1,0-2,1-3,1-4,2-5,5-6,5-7",8,5040.0,B,4.702576764067173,0.015832948555925312
8,"tree:0-1,0-2,1-3,1-4,2-5,5-6,5-7",8,5040.0,C,4.702576764067173,0.015832948555925312
8,"tree:0-1,0-2,1-3,1-4,2-5,2-6,2-7",12,3360.0,A,4.531297936669925,0.012527257116472365
8,"tree:0-1,0-2,1-3,1-4,2-5,2-6,2-7",12,3360.0,B,4.531297936669925,0.012527257116472365
8,"tree:0-1,0-2,1-3,1-4,2-5,2-6,2-7",12,3360.0,C,4.531297936669925,0.012527257116472365
8,"tree:0-1,0-2,1-3,2-4,4-5,4-6,4-7",6,6720.0,A,4.892115072187121,0.017465663794725455
8,"tree:0-1,0-2,1-3,2-4,4-5,4-6,4-7",6,6720.0,B,4.892115072187121,0.017465663794725455
8,"tree:0-1,0-2,1-3,2-4,4-5,4-6,4-7",6,6720.0,C,4.892115072187121,0.017465663794725455
8,"tree:0-1,0-2,0-3,1-4,2-5,3-6,6-7",2,20160.0,A,4.355950997563262,0.08956935558941773
8,"tree:0-1,0-2,0-3,1-4,2-5,3-6,6-7",2,20160.0,B,4.355950997563262,0.08956935558941773
8,"tree:0-1,0-2,0-3,1-4,2-5,3-6,6-7",2,20160.0,C,4.355950997563262,0.08956935558941773
8,"tree:0-1,0-2,0-3,1-4,2-5,3-6,3-7",4,10080.0,A,4.283910849626096,0.04813002560671491
8,"tree:0-1,0-2,0-3,1-4,2-5,3-6,3-7",4,10080.0,B,4.283910849626096,0.04813002560671491
8,"tree:0-1,0-2,0-3,1-4,2-5,3-6,3-7",4,10080.0,C,4.283910849626096,0.04813002560671491
8,"tree:0-1,0-2,0-3,2-4,3-5,4-6,5-7",2,20160.0,A,4.473322031371955,0.07965001416218635
8,"tree:0-1,0-2,0-3,2-4,3-5,4-6,5-7",2,20160.0,B,4.473322031371955,0.07965001416218635
8,"tree:0-1,0-2,0-3,2-4,3-5,4-6,5-7",2,20160.0,C,4.473322031371955,0.07965001416218635
8,"tree:0-1,0-2,0-3,2-4,2-5,3-6,6-7",2,20160.0,A,4.401281883434789,0.08559974995854842
8,"tree:0-1,0-2,0-3,2-4,2-5,3-6,6-7",2,20160.0,B,4.401281883434789,0.08559974995854842
8,"tree:0-1,0-2,0-3,2-4,2-5,3-6,6-7",2,20160.0,C,4.401281883434789,0.08559974995854842
8,"tree:0-1,0-2,0-3,2-4,2-5,3-6,3-7",8,5040.0,A,4.329241735497623,0.022998480508885567
8,"tree:0-1,0-2,0-3,2-4,2-5,3-6,3-7",8,5040.0,B,4.329241735497623,0.022998480508885567
8,"tree:0-1,0-2,0-3,2-4,2-5,3-6,3-7",8,5040.0,C,4.329241735497623,0.022998480508885567
8,"tree:0-1,0-2,0-3,2-4,3-5,5-6,5-7",2,20160.0,A,4.537178964967035,0.07472280105466013
8,"tree:0-1,0-2,0-3,2-4,3-5,5-6,5-7",2,20160.0,B,4.537178964967035,0.07472280105466013
8,"tree:0-1,0-2,0-3,2-4,3-5,5-6,5-7",2,20160.0,C,4.537178964967035,0.07472280105466013
8,"tree:0-1,0-2,0-3,2-4,3-5,3-6,6-7",2,20160.0,A,4.4379402855069525,0.08251861960239798
8,"tree:0-1,0-2,0-3,2-4,3-5,3-6,6-7",2,20160.0,B,4.4379402855069525,0.08251861960239798
8,"tree:0-1,0-2,0-3,2-4,3-5,3-6,6-7",2,20160.0,C,4.4379402855069525,0.08251861960239798
8,"tree:0-1,0-2,0-3,2-4,3-5,3-6,3-7",6,6720.0,A,4.3659001375697875,0.029560878631302853
8,"tree:0-1,0-2,0-3,2-4,3-5,3-6,3-7",6,6720.0,B,4.3659001375697875,0.029560878631302853
8,"tree:0-1,0-2,0-3,2-4,3-5,3-6,3-7",6,6720.0,C,4.3659001375697875,0.029560878631302853
8,"tree:0-1,0-2,0-3,0-4,2-5,3-6,4-7",6,6720.0,A,4.118513050525959,0.0378578708345972
8,"tree:0-1,0-2,0-3,0-4,2-5,3-6,4-7",6,6720.0,B,4.118513050525959,0.0378578708345972
