# potential, N, F_spec, F_naive, F_lin, err_naive, err_lin, known_N
harmonic,  100, 1.25475513e+00, 3.15678487e-01, 1.25371022e+00, 7.484e-01, 8.328e-04, 1
harmonic,  200, 1.25366978e+00, 2.99794039e-01, 1.25383208e+00, 7.609e-01, 1.295e-04, 1
harmonic,  400, 1.25340252e+00, 3.05674720e-01, 1.25384409e+00, 7.561e-01, 3.523e-04, 1
harmonic,  800, 1.25333615e+00, 3.04237344e-01, 1.25372196e+00, 7.573e-01, 3.078e-04, 1
harmonic,  160, 1.25387152e+00, 2.97950391e-01, 1.25374982e+00, 7.624e-01, 9.706e-05, 0
harmonic,  320, 1.25345244e+00, 3.04753552e-01, 1.25381130e+00, 7.569e-01, 2.863e-04, 0
harmonic,  640, 1.25334858e+00, 2.95164049e-01, 1.25370807e+00, 7.645e-01, 2.868e-04, 0
box,  100, 4.45634126e+00, 1.00000000e+00, 1.24937041e+00, 7.756e-01, 7.196e-01, 1
box,  200, 4.40250278e+00, 1.00000000e+00, 1.24937041e+00, 7.729e-01, 7.162e-01, 1
box,  400, 4.37694424e+00, 1.00000000e+00, 1.24937041e+00, 7.715e-01, 7.146e-01, 1
box,  800, 4.36449290e+00, 1.00000000e+00, 1.24937041e+00, 7.709e-01, 7.137e-01, 1
box,  160, 4.41561670e+00, 1.00000000e+00, 1.24937041e+00, 7.735e-01, 7.171e-01, 0
box,  320, 4.38325128e+00, 1.00000000e+00, 1.24937041e+00, 7.719e-01, 7.150e-01, 0
box,  640, 4.36758551e+00, 1.00000000e+00, 1.24937041e+00, 7.710e-01, 7.139e-01, 0
