mode,graph_class,n_nodes,cyclic,runtime_sec
baseline,small_tree,8,0,0.21195260004606098
baseline,small_tree,10,0,0.3110687000444159
baseline,small_tree,9,0,0.25428669998655096
baseline,small_tree,10,0,0.3084104000008665
baseline,small_tree,7,0,0.16493839997565374
baseline,small_tree,10,0,0.30626320000737906
baseline,small_tree,5,0,0.09887340001296252
baseline,small_tree,5,0,0.1003707000054419
baseline,small_tree,7,0,0.1644922000123188
baseline,small_tree,7,0,0.16512730001704767
baseline,small_tree,9,0,0.2511852000025101
baseline,small_tree,8,0,0.2065197000047192
baseline,small_tree,10,0,0.3037357999710366
baseline,small_tree,6,0,0.13691070000641048
baseline,small_tree,7,0,0.16541179997147992
baseline,small_tree,7,0,0.1661238000378944
baseline,small_tree,10,0,0.305734499997925
baseline,small_tree,7,0,0.1661426000064239
baseline,small_tree,7,0,0.16455240000505
baseline,small_tree,9,0,0.254148600040935
baseline,small_tree,6,0,0.13042940001469105
baseline,small_tree,6,0,0.12872079998487607
baseline,small_tree,8,0,0.20566420000977814
baseline,small_tree,10,0,0.3057668000110425
baseline,small_tree,9,0,0.2546515000285581
baseline,small_tree,5,0,0.09891629999037832
baseline,small_tree,8,0,0.2068843999877572
baseline,small_tree,9,0,0.25231509999139234
baseline,small_tree,6,0,0.1304105000454001
baseline,small_tree,8,0,0.20602659997530282
baseline,small_tree,9,0,0.25156539998715743
baseline,small_tree,7,0,0.16729990002932027
baseline,small_tree,7,0,0.17029549996368587
baseline,small_tree,5,0,0.098578900040593
baseline,small_tree,10,0,0.30577189999166876
baseline,small_tree,7,0,0.16601000004447997
baseline,small_tree,6,0,0.13086720003047958
baseline,small_tree,6,0,0.12966269999742508
baseline,small_tree,6,0,0.12836540001444519
baseline,small_tree,5,0,0.09767560003092512
baseline,small_tree,6,0,0.12985680002020672
baseline,small_tree,5,0,0.09857450000708923
baseline,small_tree,6,0,0.12957309995545074
baseline,small_tree,10,0,0.3055253999773413
baseline,small_tree,5,0,0.09710439998889342
baseline,small_tree,5,0,0.09856390004279092
baseline,small_tree,7,0,0.16632179997395724
baseline,small_tree,5,0,0.0965174000011757
baseline,small_tree,5,0,0.09848230000352487
baseline,small_tree,10,0,0.3041505999863148
baseline,small_cyclic,7,1,0.16597620001994073
baseline,small_cyclic,8,1,0.21361470001284033
baseline,small_cyclic,10,1,0.32460920000448823
baseline,small_cyclic,5,1,0.10729349998291582
baseline,small_cyclic,10,1,0.3375737000023946
baseline,small_cyclic,8,1,0.21020799997495487
baseline,small_cyclic,7,1,0.16499239997938275
baseline,small_cyclic,8,1,0.2126688999705948
baseline,small_cyclic,5,1,0.09824039996601641
baseline,small_cyclic,5,1,0.09956960001727566
baseline,small_cyclic,6,1,0.13421910000033677
baseline,small_cyclic,6,1,0.13085630000568926
baseline,small_cyclic,10,1,0.3116827000048943
baseline,small_cyclic,10,1,0.3190138000063598
baseline,small_cyclic,6,1,0.1363664999953471
baseline,small_cyclic,7,1,0.17405080003663898
baseline,small_cyclic,9,1,0.2602201999980025
baseline,small_cyclic,6,1,0.13368130003800616
baseline,small_cyclic,10,1,0.3118876999942586
baseline,small_cyclic,10,1,0.3105447999550961
baseline,small_cyclic,5,1,0.10126320004928857
baseline,small_cyclic,8,1,0.20444070000667125
baseline,small_cyclic,5,1,0.10043469996890053
baseline,small_cyclic,7,1,0.17291560000739992
baseline,small_cyclic,9,1,0.2554004000267014
baseline,small_cyclic,7,1,0.1766710999654606
baseline,small_cyclic,9,1,0.27982560003874823
baseline,small_cyclic,10,1,0.31756210001185536
baseline,small_cyclic,5,1,0.10489449999295175
baseline,small_cyclic,6,1,0.13296560000162572
baseline,small_cyclic,9,1,0.2660397000145167
baseline,small_cyclic,10,1,0.3157115000067279
baseline,small_cyclic,10,1,0.31794770003762096
baseline,small_cyclic,8,1,0.20873969997046515
baseline,small_cyclic,5,1,0.10556120000546798
baseline,small_cyclic,9,1,0.26583440002286807
baseline,small_cyclic,9,1,0.26876060001086444
baseline,small_cyclic,8,1,0.20798539998941123
baseline,small_cyclic,6,1,0.13906700001098216
baseline,small_cyclic,8,1,0.21829610003624111
baseline,small_cyclic,7,1,0.16899020003620535
baseline,small_cyclic,6,1,0.13851870002690703
baseline,small_cyclic,6,1,0.14668070001062006
baseline,small_cyclic,7,1,0.17118920001666993
baseline,small_cyclic,10,1,0.1498520000022836
baseline,small_cyclic,7,1,0.064293900039047
baseline,small_cyclic,7,1,0.06210169999394566
baseline,small_cyclic,10,1,0.12572129996260628
baseline,small_cyclic,10,1,0.12894999998388812
baseline,small_cyclic,10,1,0.12974309996934608
baseline,medium_tree,39,0,1.5065858999732882
baseline,medium_tree,29,0,0.8179281000047922
baseline,medium_tree,26,0,0.6794139000121504
baseline,medium_tree,28,0,0.8064694999484345
baseline,medium_tree,22,0,0.4825727000134066
baseline,medium_tree,39,0,1.5055853999801911
baseline,medium_tree,29,0,0.8398154999595135
baseline,medium_tree,30,0,0.8796472999965772
baseline,medium_tree,39,0,1.5175169000285678
baseline,medium_tree,24,0,0.6190050999866799
baseline,medium_tree,23,0,0.624697900027968
baseline,medium_tree,37,0,1.4438384000095539
baseline,medium_tree,26,0,0.7392081000143662
baseline,medium_tree,23,0,0.5690092999720946
baseline,medium_tree,31,0,0.9806500999839045
baseline,medium_tree,25,0,0.6317835000227205
baseline,medium_tree,28,0,0.7918029999709688
baseline,medium_tree,36,0,1.2961365999653935
baseline,medium_tree,40,0,1.5646766999852844
baseline,medium_tree,29,0,0.8130559000419453
baseline,medium_tree,28,0,0.7582839999813586
baseline,medium_tree,20,0,0.39385430002585053
baseline,medium_tree,36,0,1.2204619999974966
baseline,medium_tree,36,0,1.2443600000115111
baseline,medium_tree,40,0,1.5019559999927878
