mode,graph_class,graph_id,n_nodes,cyclic,runtime_sec
baseline,small_tree,0.0,9.0,0.0,0.09843030001502484
baseline,small_tree,1.0,5.0,0.0,0.03507959999842569
baseline,small_tree,2.0,10.0,0.0,0.11224529996979982
baseline,small_tree,3.0,10.0,0.0,0.1139602999901399
baseline,small_tree,4.0,5.0,0.0,0.03429209999740124
baseline,small_tree,5.0,5.0,0.0,0.033425900037400424
baseline,small_tree,6.0,9.0,0.0,0.09258749999571592
baseline,small_tree,7.0,10.0,0.0,0.1111067000310868
baseline,small_tree,8.0,7.0,0.0,0.062065300007816404
baseline,small_tree,9.0,8.0,0.0,0.07855559996096417
baseline,small_tree,10.0,10.0,0.0,0.10508529999060556
baseline,small_tree,11.0,6.0,0.0,0.04654479998862371
baseline,small_tree,12.0,8.0,0.0,0.0737373000010848
baseline,small_tree,13.0,6.0,0.0,0.05223430000478402
baseline,small_tree,14.0,10.0,0.0,0.1221077999798581
baseline,small_tree,15.0,9.0,0.0,0.09350029996130615
baseline,small_tree,16.0,7.0,0.0,0.058573000016622245
baseline,small_tree,17.0,6.0,0.0,0.050077599997166544
baseline,small_tree,18.0,10.0,0.0,0.11370190000161529
baseline,small_tree,19.0,5.0,0.0,0.034871699986979365
baseline,small_tree,20.0,10.0,0.0,0.11015440005576238
baseline,small_tree,21.0,5.0,0.0,0.03494720003800467
baseline,small_tree,22.0,5.0,0.0,0.03779259999282658
baseline,small_tree,23.0,9.0,0.0,0.09400829998776317
baseline,small_tree,24.0,5.0,0.0,0.03817079996224493
baseline,small_tree,25.0,9.0,0.0,0.09614229999715462
baseline,small_tree,26.0,7.0,0.0,0.06180339999264106
baseline,small_tree,27.0,6.0,0.0,0.04844990000128746
baseline,small_tree,28.0,7.0,0.0,0.06407339998986572
baseline,small_tree,29.0,9.0,0.0,0.09698679996654391
baseline,small_tree,30.0,8.0,0.0,0.07551409996813163
baseline,small_tree,31.0,9.0,0.0,0.09020949999103323
baseline,small_tree,32.0,10.0,0.0,0.1088212999748066
baseline,small_tree,33.0,6.0,0.0,0.04720679996535182
baseline,small_tree,34.0,8.0,0.0,0.07789830002002418
baseline,small_tree,35.0,5.0,0.0,0.03519880003295839
baseline,small_tree,36.0,5.0,0.0,0.03544860001420602
baseline,small_tree,37.0,9.0,0.0,0.09783129999414086
baseline,small_tree,38.0,10.0,0.0,0.11760059994412586
baseline,small_tree,39.0,6.0,0.0,0.043983599985949695
baseline,small_tree,40.0,10.0,0.0,0.11402979999547824
baseline,small_tree,41.0,6.0,0.0,0.047545299981720746
baseline,small_tree,42.0,5.0,0.0,0.03410509997047484
baseline,small_tree,43.0,6.0,0.0,0.04626440000720322
baseline,small_tree,44.0,7.0,0.0,0.05703930003801361
baseline,small_tree,45.0,5.0,0.0,0.03759090002859011
baseline,small_tree,46.0,8.0,0.0,0.0746365999802947
baseline,small_tree,47.0,7.0,0.0,0.06095590000040829
baseline,small_tree,48.0,8.0,0.0,0.0760650000302121
baseline,small_tree,49.0,6.0,0.0,0.04806780000217259
baseline,small_cyclic,0.0,10.0,1.0,0.11427299998467788
baseline,small_cyclic,1.0,8.0,1.0,0.07713250000961125
baseline,small_cyclic,2.0,7.0,1.0,0.05903480004053563
baseline,small_cyclic,3.0,10.0,1.0,0.11526600003708154
baseline,small_cyclic,4.0,9.0,1.0,0.09551150002516806
baseline,small_cyclic,5.0,7.0,1.0,0.05952829995658249
baseline,small_cyclic,6.0,10.0,1.0,0.11391640000510961
baseline,small_cyclic,7.0,8.0,1.0,0.07796779996715486
baseline,small_cyclic,8.0,9.0,1.0,0.09486419998575002
baseline,small_cyclic,9.0,6.0,1.0,0.04587179998634383
baseline,small_cyclic,10.0,10.0,1.0,0.11371370003325865
baseline,small_cyclic,11.0,9.0,1.0,0.09893300000112504
baseline,small_cyclic,12.0,5.0,1.0,0.0357668999931775
baseline,small_cyclic,13.0,5.0,1.0,0.03846980002708733
baseline,small_cyclic,14.0,7.0,1.0,0.06608980003511533
baseline,small_cyclic,15.0,8.0,1.0,0.0780314999865368
baseline,small_cyclic,16.0,9.0,1.0,0.09185389999765903
baseline,small_cyclic,17.0,9.0,1.0,0.09256649995222688
baseline,small_cyclic,18.0,10.0,1.0,0.13249879999784753
baseline,small_cyclic,19.0,10.0,1.0,0.11553289997391403
baseline,small_cyclic,20.0,5.0,1.0,0.03975270001683384
baseline,small_cyclic,21.0,6.0,1.0,0.04495070001576096
baseline,small_cyclic,22.0,7.0,1.0,0.05977089999942109
baseline,small_cyclic,23.0,6.0,1.0,0.052818600030150265
baseline,small_cyclic,24.0,6.0,1.0,0.047754500003065914
baseline,small_cyclic,25.0,5.0,1.0,0.035009599989280105
baseline,small_cyclic,26.0,9.0,1.0,0.09686589997727424
baseline,small_cyclic,27.0,10.0,1.0,0.11881969997193664
baseline,small_cyclic,28.0,9.0,1.0,0.08813350001582876
baseline,small_cyclic,29.0,8.0,1.0,0.0759527999907732
baseline,small_cyclic,30.0,5.0,1.0,0.03382489999057725
baseline,small_cyclic,31.0,6.0,1.0,0.048641800007317215
baseline,small_cyclic,32.0,8.0,1.0,0.07696210005087778
baseline,small_cyclic,33.0,10.0,1.0,0.11662620003335178
baseline,small_cyclic,34.0,10.0,1.0,0.12727759999688715
baseline,small_cyclic,35.0,10.0,1.0,0.11861060000956059
baseline,small_cyclic,36.0,7.0,1.0,0.0628475000266917
baseline,small_cyclic,37.0,8.0,1.0,0.07785689999582246
baseline,small_cyclic,38.0,8.0,1.0,0.07808910001767799
baseline,small_cyclic,39.0,6.0,1.0,0.052978500025346875
baseline,small_cyclic,40.0,7.0,1.0,0.06681399996159598
baseline,small_cyclic,41.0,7.0,1.0,0.06705449998844415
baseline,small_cyclic,42.0,5.0,1.0,0.03587389999302104
baseline,small_cyclic,43.0,9.0,1.0,0.09396620001643896
baseline,small_cyclic,44.0,7.0,1.0,0.059059099992737174
baseline,small_cyclic,45.0,7.0,1.0,0.059553700033575296
baseline,small_cyclic,46.0,9.0,1.0,0.09740670002065599
baseline,small_cyclic,47.0,8.0,1.0,0.07612829998834059
baseline,small_cyclic,48.0,5.0,1.0,0.0341224999865517
baseline,small_cyclic,49.0,8.0,1.0,0.07763040001736954
baseline,medium_tree,0.0,26.0,0.0,0.6747211000183597
baseline,medium_tree,1.0,31.0,0.0,0.9773838999681175
baseline,medium_tree,2.0,28.0,0.0,0.796377599996049
