lambda_fdm,q_fdm,role,C2_norm_mean,C2_norm_std,n_samples
0.3,1.0,bridge,0.27711732898244207,0.17605877800447547,467
0.3,1.0,hub,0.13855709454400464,0.09737663369969768,400
0.3,1.0,terminator,0.39879967756940105,0.19541000261009595,85
0.3,1.5,bridge,0.303474537148095,0.19240062319070192,450
0.3,1.5,hub,0.13945441511262294,0.09684272551808114,399
0.3,1.5,terminator,0.393596960476782,0.19965104964167882,107
0.3,2.0,bridge,0.283835435311522,0.178495898357253,462
0.3,2.0,hub,0.12946459464841664,0.08065884736422835,400
0.3,2.0,terminator,0.38709414550091115,0.20505348447173288,94
0.3,2.5,bridge,0.2924027221740007,0.1818515981227199,458
0.3,2.5,hub,0.1352721076531222,0.09487294522523314,400
0.3,2.5,terminator,0.40740974475161323,0.20081428697066725,90
0.4,1.0,bridge,0.2998311671789403,0.1801393519528488,450
0.4,1.0,hub,0.1278907298539028,0.0826852970986,399
0.4,1.0,terminator,0.43157902481431837,0.19438773547120353,104
0.4,1.5,bridge,0.2938614410361571,0.18430869489934001,459
0.4,1.5,hub,0.12619843222607677,0.08061823872655924,399
0.4,1.5,terminator,0.3679590315780193,0.18835195640507205,82
0.4,2.0,bridge,0.28835372523268726,0.17669623584510974,454
0.4,2.0,hub,0.1295110011195391,0.08867084526179213,400
0.4,2.0,terminator,0.36326973570454785,0.1938030893029866,96
0.4,2.5,bridge,0.2750934313548885,0.18193420210575695,457
0.4,2.5,hub,0.12613031634908073,0.08043468271616427,400
0.4,2.5,terminator,0.36488841300752356,0.20595354124733295,74
0.5,1.0,bridge,0.30251539919897213,0.18599127633298562,445
0.5,1.0,hub,0.13563726572057888,0.09282817068165429,397
0.5,1.0,terminator,0.35243844315255063,0.19956865069797303,83
0.5,1.5,bridge,0.28776522186530085,0.18195528496040225,458
0.5,1.5,hub,0.1262703795284275,0.08405822841778557,400
0.5,1.5,terminator,0.3815616984827142,0.20117174990716788,91
0.5,2.0,bridge,0.298728813878737,0.18155742167780572,451
0.5,2.0,hub,0.136196023439852,0.08678273836640023,400
0.5,2.0,terminator,0.3832148479633815,0.18443201295947886,94
0.5,2.5,bridge,0.2820673069325173,0.1828138279240074,455
0.5,2.5,hub,0.1298611008333289,0.0827561266558192,400
0.5,2.5,terminator,0.40925909059731136,0.19887057442800818,97
0.6,1.0,bridge,0.28851667202295356,0.17997574794260793,460
0.6,1.0,hub,0.12969865962736196,0.08842274221424508,400
0.6,1.0,terminator,0.3935708844108179,0.19653612546308963,82
0.6,1.5,bridge,0.28309869700286155,0.18478875739653658,449
0.6,1.5,hub,0.12896732825991775,0.08457800439097193,400
0.6,1.5,terminator,0.40353270156670173,0.20703339921192226,86
0.6,2.0,bridge,0.29805738905457974,0.18422339507093424,447
0.6,2.0,hub,0.13155165885992967,0.08751156956662985,400
0.6,2.0,terminator,0.3979372861611124,0.1968674562619075,84
0.6,2.5,bridge,0.2874522557108088,0.18024709373497352,457
0.6,2.5,hub,0.12849349412456149,0.09039271499827323,400
0.6,2.5,terminator,0.403801534823876,0.19875957665180952,91
0.7,1.0,bridge,0.3051699045803578,0.1858988340773821,454
0.7,1.0,hub,0.1338649904510888,0.09384276043017413,400
0.7,1.0,terminator,0.40201345717963455,0.1962396809349974,78
0.7,1.5,bridge,0.28807410160536984,0.18382044270210793,453
0.7,1.5,hub,0.13377923492100469,0.08258127235248755,400
0.7,1.5,terminator,0.3821504736038288,0.20297927131310045,76
0.7,2.0,bridge,0.28969670072457976,0.18540313869058436,454
0.7,2.0,hub,0.13608522482222493,0.10386722098416772,400
0.7,2.0,terminator,0.39904075890556323,0.19990940116199768,92
0.7,2.5,bridge,0.29092709215554097,0.17734875454512034,453
0.7,2.5,hub,0.12675286364460417,0.08878986097645504,399
0.7,2.5,terminator,0.372780372407842,0.18548779618767064,94
