formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C5H13N,"het:edges=0-1,0-2,0-3,0-4,3-5;types=0,0,0,0,1,0",primary_amine,6,0.038452890161657684,0.035238095238095235,9.765,1,"1,1,1,1,2,4",,,1,2,2.783333333333333,9.765,40.60383333333333,188.52884999999995,0.30574266861232663,0.0017240762571057,0.231421839461722,0.3668207190174495,0.12232841387427623,0.00021505221199468187,0.11054166846203232,0.15394339125653156,-0.08730610903257673
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,0,1",primary_amine,6,0.012817630053885776,0.009523809523809525,9.765,1,"1,1,1,1,2,4",,,1,2,2.783333333333333,9.765000000000002,40.60383333333334,188.72885000000005,0.3058391880160766,0.0018141327610438716,0.23000790901523638,0.3708459529781684,0.12262188447751919,0.00029750370950276547,0.10747314947931084,0.1603950491435718,-0.29702661540471237
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,1,0",secondary_amine,6,0.013474803999690753,0.014761904761904763,9.715000000000002,1,"1,1,1,1,2,4",,,2,1,2.783333333333333,9.715000000000002,40.06383333333334,184.6523500000001,0.3047521333208956,0.0010863696309404759,0.23128217917580265,0.32333462122578377,0.1219283000823933,0.00010959216600928671,0.11009658066377494,0.14271966895777619,0.09122828207334356
C5H13N,"het:edges=0-1,0-2,0-3,1-4,2-5;types=0,0,0,1,0,0",primary_amine,6,0.045426722197252765,0.037142857142857144,9.598333333333334,1,"1,1,1,2,2,3",,,1,2,2.783333333333333,9.598333333333331,37.97883333333332,163.12884999999991,0.30505342656236895,0.0013515695593001433,0.2544514743125386,0.36873225281967165,0.12394773462387554,0.00023340645051225944,0.11281179570702768,0.15691073400688288,-0.20132903967673918
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.09085344439450552,0.08619047619047619,9.598333333333336,1,"1,1,1,2,2,3",,,1,2,2.783333333333333,9.598333333333331,37.97883333333332,163.22884999999997,0.3051047529372562,0.001402501723870394,0.2529013979088731,0.37087160836100264,0.12411451213089458,0.00028377184518520236,0.10933116436614732,0.1605668906298765,-0.05268801997457978
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,1,0,0",secondary_amine,6,0.09551160009814874,0.10666666666666667,9.548333333333334,1,"1,1,1,2,2,3",,,2,1,2.7833333333333337,9.548333333333337,37.43883333333335,159.25235000000012,0.3040581763384325,0.0007023612759083257,0.2543001109155648,0.3250477856978308,0.12352691367098607,0.00011794889356030919,0.1123090397790273,0.1452198711405359,0.110460998924242
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=1,0,0,0,0,0",tertiary_amine,6,0.0502042922759048,0.05238095238095238,9.498333333333337,1,"1,1,1,2,2,3",,,3,0,2.7833333333333337,9.498333333333337,36.82383333333335,154.12085000000008,0.30323711048997976,0.0003079230734062697,0.2841339874070431,0.3208496269054382,0.1231684131121679,3.72590912022406e-05,0.11724817429554067,0.1355477130859943,0.042442493688785644
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.041794602032500204,0.0380952380952381,9.681666666666668,1,"1,1,1,1,3,3",,,1,2,2.7833333333333337,9.681666666666667,39.22883333333332,174.64968333333323,0.30550818081265146,0.0016451636887941355,0.25307670878468036,0.36873417618026844,0.12316920893875594,0.0002428224295723952,0.10968257511266775,0.15693287450122234,-0.09267790094525036
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,1,0,0",tertiary_amine,6,0.02309508934943242,0.025238095238095237,9.581666666666665,1,"1,1,1,1,3,3",,,3,0,2.7833333333333337,9.581666666666669,38.07383333333334,165.64168333333336,0.30369637676625566,0.0006110445026103395,0.2543438189312603,0.32042731904918437,0.12240866529858217,5.029247136580379e-05,0.11227047440647595,0.13597438300469356,0.08873455249285793
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,0,0,0,1",primary_amine,6,0.045426722197252765,0.0419047619047619,9.598333333333334,1,"1,1,1,2,2,3",,,1,2,2.7833333333333328,9.598333333333331,37.97883333333332,163.06218333333322,0.3050498141354521,0.0013674392949341013,0.2546329285655333,0.37089912693393584,0.12403861258192189,0.00028457719406033274,0.1114581815851857,0.16075968028246843,-0.080701054947565
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,1,0,0,0",secondary_amine,6,0.047755800049075675,0.04380952380952381,9.548333333333327,1,"1,1,1,2,2,3",,,2,1,2.783333333333333,9.548333333333334,37.43883333333333,159.1856833333333,0.30404803753470516,0.0007032356004536477,0.2546503096493797,0.32694161578940684,0.12357451765299186,0.00014304174852146245,0.111747672803273,0.14812102909650368,-0.08624929234068507
