seed,n,cyclomatic,cycle_load,C_norm_fdm,C_norm_fdm_loopy,penalty_factor,mode
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
Li,1,0,0.0,0.0,0.0,1.0,CY1A
