seed,n,cyclomatic,cycle_load,C_norm_fdm,C_norm_fdm_loopy,penalty_factor,mode
Li,6,3,0.5,0.2237952478840668,0.5371085949217602,2.3999999999999995,CY1B
Li,8,1,0.125,0.22563357140931203,0.32152783925826967,1.425,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,5,3,0.6,0.27938383802778455,0.6984595950694614,2.5,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,20,3,0.15,0.08004729360381763,0.1640969518878261,2.05,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,10,3,0.3,0.1706705930655458,0.3754753047442007,2.1999999999999997,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,4,3,0.75,0.30624999999999997,0.8115624999999999,2.65,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,14,3,0.21428571428571427,0.11208494623783523,0.23697960061713735,2.1142857142857143,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,4,1,0.25,0.33303300858899104,0.5162011633129361,1.5499999999999998,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,3,1,0.3333333333333333,0.41031336922528344,0.6701785030679629,1.633333333333333,CY1B
Li,17,2,0.11764705882352941,0.10480374503759415,0.18001584441751467,1.7176470588235295,CY1B
