seed,T,deltaG_backend,mh_proposals,mh_accepted,mh_rejected,acceptance_rate,n,m,cyclomatic,E_3d,total_fdm,total_entangled,penalty_factor_3d,elapsed_sec
0,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.006357669830322266
1,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0006215572357177734
2,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
3,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
4,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
5,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
6,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
7,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
8,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
9,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
10,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
11,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
12,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
13,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
14,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
15,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0020432472229003906
16,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
17,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
18,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
19,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
20,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
21,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
22,0.1,fdm,3,0,3,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
23,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.003130674362182617
24,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
25,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
26,0.1,fdm,4,0,4,0.0,1,0,0,0.0,0.0,0.0,nan,0.0
