formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C6H15N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.01862826935479813,0.015703069236259814,9.399642857142855,1,"1,1,1,1,2,2,4",,,1,2,2.707142857142857,9.399642857142856,38.74608928571428,177.91261696428566,0.31997525690712475,0.002136289933554274,0.2318746117581266,0.3850887463819107,0.13521401439486994,0.0002811779015199311,0.11291762094226052,0.16872190398982115,-0.17082408868568869
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.008542934206604463,0.007137758743754461,9.486071428571432,1,"1,1,1,1,1,3,4",,,1,2,2.707142857142857,9.48607142857143,39.96944642857142,188.68566160714278,0.3206326336458259,0.0025223853386957718,0.23208677502070296,0.38509108554952043,0.13451145618383875,0.0002859432866847333,0.11339126639865407,0.16874984320383687,-0.1797056840171999
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.01862826935479719,0.018201284796573874,9.399642857142862,1,"1,1,1,1,2,2,4",,,1,2,2.7071428571428577,9.39964285714286,38.7460892857143,178.06975982142868,0.32005744487621895,0.0022192174537281075,0.2306570762871885,0.3898532310365949,0.13549458890815977,0.0003755111513705383,0.11018662585338587,0.17720549632292304,-0.023188098620214783
C6H15N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6;types=0,0,0,0,1,0,0",secondary_amine,7,0.019374659462867073,0.01891506067094932,9.360357142857145,1,"1,1,1,1,2,2,4",,,2,1,2.7071428571428577,9.360357142857143,38.34430357142857,175.14651875,0.31909437505735977,0.0015422659751470724,0.2317396660282351,0.3470046125475834,0.13471310323034452,0.00014963985091365474,0.11246012300277741,0.15108749550616454,-0.02400753208344189
C6H15N,"het:edges=0-1,0-2,0-3,0-4,4-5,4-6;types=0,0,0,0,0,0,1",primary_amine,7,0.005695289471069776,0.009992862241256246,9.486071428571433,1,"1,1,1,1,1,3,4",,,1,2,2.7071428571428577,9.48607142857143,39.96944642857143,188.76423303571428,0.3206712082923767,0.0025588894171706842,0.2308680143113886,0.3873282616006594,0.13463651361354081,0.0003255640115351905,0.11064294493812639,0.1725376307672159,0.5622315621556955
C6H15N,"het:edges=0-1,0-2,0-3,0-4,4-5,4-6;types=0,0,0,0,1,0,0",tertiary_amine,7,0.0030804129805894302,0.0035688793718772305,9.4075,1,"1,1,1,1,1,3,4",,,3,0,2.7071428571428577,9.407499999999999,39.101053571428565,182.11966160714277,0.31904656078858057,0.0016053073773443828,0.23183527919746083,0.34449153179348163,0.13363174775441802,8.102194915197159e-05,0.11257351488623504,0.14082449793679572,0.14718792804354375
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,2-6;types=0,0,0,1,0,0,0",primary_amine,7,0.020309908209677912,0.021056388294075662,9.313214285714285,1,"1,1,1,1,2,3,3",,,1,2,2.7071428571428564,9.313214285714285,37.38012500000001,164.36989017857144,0.3195302376737176,0.0019908281582193452,0.2597879588072895,0.3873235046139668,0.1358921243575836,0.0003054984552100726,0.11762361405809714,0.17248018159584483,0.03609513812770361
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=0,0,0,0,0,0,1",primary_amine,7,0.022143354469979743,0.017130620985010708,9.226785714285713,1,"1,1,1,2,2,2,3",,,1,2,2.707142857142857,9.226785714285711,36.15676785714284,153.67541696428563,0.3189102367048931,0.0016403679408643435,0.2582054500894711,0.3898830594175108,0.13674011682671608,0.0003563802856886843,0.11391661870177221,0.17741782371215925,-0.25666985133848286
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.023030585614270103,0.023554603854389723,9.187499999999996,1,"1,1,1,2,2,2,3",,,2,1,2.707142857142857,9.187499999999998,35.75498214285714,150.83074732142853,0.3179807151658575,0.0009861007475987806,0.2594072640860088,0.3470343937495905,0.13605265533901534,0.0001507671126729641,0.11654736663331258,0.1541437441418206,0.02249815131370937
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6;types=1,0,0,0,0,0,0",tertiary_amine,7,0.007984455328051298,0.011777301927194861,9.148214285714287,1,"1,1,1,2,2,2,3",,,3,0,2.7071428571428577,9.148214285714289,35.28837500000002,146.952274107143,0.3172292626851272,0.0006111257297166663,0.28862931580532863,0.3455316981792077,0.13551567213895405,3.616293487148334e-05,0.1289142244244777,0.1418912521766957,0.38867750576784604
C6H15N,"het:edges=0-1,0-2,0-3,1-4,2-5,5-6;types=0,0,0,1,0,0,0",primary_amine,7,0.04428670893995361,0.046395431834404,9.226785714285716,1,"1,1,1,2,2,2,3",,,1,2,2.7071428571428577,9.226785714285715,36.15676785714286,153.42398839285713,0.3188009031443662,0.0015440462329624391,0.261627257052745,0.3873532919958341,0.13644922511150276,0.0002824396943725428,0.12024646294516005,0.1726916359092233,0.04651639340838097
