beta,alpha_H,formula,coverage_unique_eq,kl_exact_emp,coll_cross_pairs,coll_cross_pairs_strict,max_abs_delta_cross,fp_best_auc_best,fp_best_auc_gap
0.95,0.43,C4H10O,1.0,0.001497954087039499,0.0,0.0,0.0,1.0,0.0932341656991793
0.95,0.43,C5H12O,1.0,0.0016679952658795023,0.0,0.0,0.0,1.0,0.1276786642689508
0.95,0.43,C4H11N,1.0,0.002029603890383664,0.0,0.0,0.0,1.0,0.09323416569917964
0.95,0.43,C5H13N,1.0,0.0018257264210871475,0.0,0.0,0.0,1.0,0.1276786642689508
0.95,0.43,C6H14O,1.0,0.002852333481536435,0.0,0.0,0.0,1.0,0.16284606881207386
0.95,0.43,C7H16O,1.0,0.014742463222682581,0.0,0.0,0.0,1.0,0.20165015324426794
0.95,0.43,C6H15N,1.0,0.007901366875059459,0.0,0.0,0.0,1.0,0.16284606881207442
0.95,0.43,C7H17N,1.0,0.009718217244708411,0.0,0.0,0.0,1.0,0.2016501532443309
0.95,0.45,C4H10O,1.0,0.003057074722318174,0.0,0.0,0.0,0.9999999999999999,0.09330160646089347
0.95,0.45,C5H12O,1.0,0.0022601723749020052,0.0,0.0,0.0,1.0,0.12766708674763871
0.95,0.45,C4H11N,1.0,0.003785258027582749,0.0,0.0,0.0,1.0,0.0933016064608937
0.95,0.45,C5H13N,1.0,0.005600721112197582,0.0,0.0,0.0,1.0,0.1276670867476366
0.95,0.45,C6H14O,1.0,0.006187688388225204,0.0,0.0,0.0,1.0,0.16311132732244416
0.95,0.45,C7H16O,1.0,0.014104991082096705,0.0,0.0,0.0,1.0,0.2019724443397629
0.95,0.45,C6H15N,1.0,0.0054919490591492605,0.0,0.0,0.0,1.0,0.1631113273224436
0.95,0.45,C7H17N,1.0,0.013167037165080681,0.0,0.0,0.0,1.0,0.20197244433968586
0.95,0.47000000000000003,C4H10O,1.0,0.0007590105007000969,0.0,0.0,0.0,1.0,0.0933623323428946
0.95,0.47000000000000003,C5H12O,1.0,0.0027232595454510086,0.0,0.0,0.0,1.0,0.12765784177486206
0.95,0.47000000000000003,C4H11N,1.0,0.002342449096106097,0.0,0.0,0.0,1.0,0.09336233234289493
0.95,0.47000000000000003,C5H13N,1.0,0.0032868473673261962,0.0,0.0,0.0,0.9999999999999999,0.12765784177485884
0.95,0.47000000000000003,C6H14O,1.0,0.006150089355926065,0.0,0.0,0.0,1.0,0.1633702060920843
0.95,0.47000000000000003,C7H16O,1.0,0.010402959920442956,0.0,0.0,0.0,0.9999999999999998,0.20228339699457032
0.95,0.47000000000000003,C6H15N,1.0,0.005139902034257651,0.0,0.0,0.0,1.0,0.16337020609207287
0.95,0.47000000000000003,C7H17N,1.0,0.013089449305448536,0.0,0.0,0.0,0.9999999999999999,0.2022833969945138
1.0,0.43,C4H10O,1.0,0.0010039322918630588,0.0,0.0,0.0,1.0,0.09317964751997732
1.0,0.43,C5H12O,1.0,0.002072968147264659,0.0,0.0,0.0,0.9999999999999999,0.12768881762186568
1.0,0.43,C4H11N,1.0,0.0007896122466013386,0.0,0.0,0.0,1.0,0.09317964751997754
1.0,0.43,C5H13N,1.0,0.005417749830161897,0.0,0.0,0.0,1.0,0.127688817621866
1.0,0.43,C6H14O,1.0,0.003298284491925657,0.0,0.0,0.0,0.9999999999999999,0.16264578407375918
1.0,0.43,C7H16O,1.0,0.011950183623238252,0.0,0.0,0.0,1.0,0.20140427017726403
1.0,0.43,C6H15N,1.0,0.006463691805552721,0.0,0.0,0.0,0.9999999999999999,0.16264578407375285
1.0,0.43,C7H17N,1.0,0.012992315641281293,0.0,0.0,0.0,0.9999999999999996,0.20140427017709184
1.0,0.45,C4H10O,1.0,0.0013523018244758632,0.0,0.0,0.0,1.0,0.0932541371173562
1.0,0.45,C5H12O,1.0,0.0034420393505754203,0.0,0.0,0.0,1.0,0.12767511188809333
1.0,0.45,C4H11N,1.0,0.0014025323434583847,0.0,0.0,0.0,1.0,0.0932541371173562
1.0,0.45,C5H13N,1.0,0.005288703936575615,0.0,0.0,0.0,1.0,0.12767511188809433
1.0,0.45,C6H14O,1.0,0.00750782463669159,0.0,0.0,0.0,1.0,0.16292245482321877
1.0,0.45,C7H16O,1.0,0.00984535486905977,0.0,0.0,0.0,0.9999999999999999,0.2017433508762374
1.0,0.45,C6H15N,1.0,0.006354209805725076,0.0,0.0,0.0,1.0,0.16292245482321788
1.0,0.45,C7H17N,1.0,0.013273674714102906,0.0,0.0,0.0,1.0,0.20174335087624307
1.0,0.47000000000000003,C4H10O,1.0,0.002214948576273486,0.0,0.0,0.0,1.0,0.09332122668776566
1.0,0.47000000000000003,C5H12O,1.0,0.002429250823254015,0.0,0.0,0.0,0.9999999999999999,0.12766396258658164
1.0,0.47000000000000003,C4H11N,1.0,0.006616983529823085,0.0,0.0,0.0,1.0,0.09332122668776521
1.0,0.47000000000000003,C5H13N,1.0,0.0018709500385138498,0.0,0.0,0.0,1.0,0.12766396258657953
1.0,0.47000000000000003,C6H14O,1.0,0.010575621070670787,0.0,0.0,0.0,0.9999999999999999,0.16319268837416068
