profile,mode,Z,Z_symbol,n_trees,runtime_total_sec,runtime_per_tree_sec_mean,runtime_per_tree_sec_median,size_mean,size_median,complexity_fdm_mean,complexity_fdm_max,mh_proposals,mh_accepted,mh_rejected,mh_accept_rate,t_shape_total_sec,t_complexity_total_sec,t_layout_total_sec,n_shape_calls,n_complexity_calls,n_layout_calls,shape_cache_hits,shape_cache_misses
SMALL,trapz,6,C,50,0.04371849977178499,0.0008743699954356999,0.0005149999633431435,2.98,1.0,1.539482559827434,6.539851801737091,244.0,99.0,145.0,0.4057377049180328,0.0,0.059005800751037896,0.0,0.0,588.0,0.0,50.0,40.0
SMALL,trapz,8,O,50,0.011107000289484859,0.00022214000578969718,0.00018370000179857016,1.28,1.0,0.3419856023210814,5.108183779978031,63.0,14.0,49.0,0.2222222222222222,0.0,0.01413760002469644,0.0,0.0,206.0,0.0,140.0,40.0
SMALL,trapz,14,Si,50,0.01735209982143715,0.000347041996428743,0.00028890001703985035,1.5,1.0,0.6107596461159401,5.320296786480504,115.0,25.0,90.0,0.21739130434782608,0.0,0.02260929928161204,0.0,0.0,324.0,0.0,230.0,40.0
SMALL,trapz,26,Fe,50,0.05608229956123978,0.0011216459912247955,0.000589400005992502,4.06,2.0,1.950245835016756,6.3530559715692405,336.0,153.0,183.0,0.45535714285714285,0.0,0.07759819907369092,0.0,0.0,772.0,0.0,320.0,40.0
SMALL,fdm,6,C,50,0.03971489972900599,0.0007942979945801199,0.0004600000102072954,2.98,1.0,1.539482559827434,6.539851801737091,244.0,99.0,145.0,0.4057377049180328,0.0,0.05422310024732724,0.0,0.0,588.0,0.0,50.0,40.0
SMALL,fdm,8,O,50,0.01122439984465018,0.00022448799689300358,0.00018929998623207211,1.28,1.0,0.3419856023210814,5.108183779978031,63.0,14.0,49.0,0.2222222222222222,0.0,0.014311301172710955,0.0,0.0,206.0,0.0,140.0,40.0
SMALL,fdm,14,Si,50,0.02012520015705377,0.0004025040031410754,0.00031825003679841757,1.54,1.0,0.6665948727028939,5.320296786480504,118.0,27.0,91.0,0.2288135593220339,0.0,0.026198100298643112,0.0,0.0,332.0,0.0,230.0,40.0
SMALL,fdm,26,Fe,50,0.057734700036235154,0.001154694000724703,0.000610099988989532,4.12,2.0,1.9623262543166853,6.3530559715692405,341.0,156.0,185.0,0.4574780058651026,0.0,0.07967220002319664,0.0,0.0,782.0,0.0,320.0,40.0
HEAVY,baseline,6,C,100,10.313256000285037,0.10313256000285037,0.03792535001412034,2.24,1.0,1.1071031862629546,7.810300174544125,407.0,124.0,283.0,0.3046683046683047,0.0,10.333164400071837,10.198678499960806,0.0,1014.0,507.0,100.0,40.0
HEAVY,baseline,8,O,100,5.949546699877828,0.059495466998778286,0.015765000018291175,1.68,1.0,0.663856835485568,6.885505831877092,183.0,68.0,115.0,0.37158469945355194,0.0,5.959275099565275,5.889125699759461,0.0,524.0,262.0,240.0,40.0
HEAVY,baseline,14,Si,100,3.3714003997156397,0.0337140039971564,0.024877349991584197,1.58,1.0,0.7236919602104912,4.902760431941739,212.0,58.0,154.0,0.27358490566037735,0.0,3.3799275003839284,3.3172303991159424,0.0,606.0,303.0,380.0,40.0
HEAVY,baseline,26,Fe,100,58.91930329974275,0.5891930329974275,0.0565865499956999,4.24,1.0,1.952487872844196,9.274073329130164,743.0,324.0,419.0,0.4360699865410498,0.0,58.9709704995621,58.534346500993706,0.0,1686.0,843.0,520.0,40.0
HEAVY,optimized,6,C,100,0.06752989970846102,0.0006752989970846101,0.00046885001938790083,2.31,1.0,1.1241127616209818,7.810300174544125,412.0,131.0,281.0,0.3179611650485437,0.0,0.09093720023520291,0.0,0.0,1024.0,0.0,100.0,40.0
HEAVY,optimized,8,O,100,0.03310109971789643,0.0003310109971789643,0.0002018999948631972,1.68,1.0,0.663856835485568,6.885505831877092,183.0,68.0,115.0,0.37158469945355194,0.0,0.04412940004840493,0.0,0.0,524.0,0.0,240.0,40.0
HEAVY,optimized,14,Si,100,0.03511900029843673,0.0003511900029843673,0.00031020003370940685,1.58,1.0,0.7236919602104912,4.902760431941739,212.0,58.0,154.0,0.27358490566037735,0.0,0.045914900372736156,0.0,0.0,606.0,0.0,380.0,40.0
HEAVY,optimized,26,Fe,100,0.13861340039875358,0.0013861340039875358,0.0006294499908108264,4.24,1.0,1.952487872844196,9.274073329130164,743.0,324.0,419.0,0.4360699865410498,0.0,0.1941843987442553,0.0,0.0,1686.0,0.0,520.0,40.0
