name,source,n,m,cyclomatic,crossing_density,E_3d,total_fdm,total_entangled,penalty_factor_3d,formula_target,formula_residual,coupling_topo_3d,topo_3d_beta
H2,manual,2,1,0,0.0,0.0,1.9211838203770515,1.9211838203770515,1.0,1.0,0.0,1.0,1.0
H2O,manual,3,2,0,0.0,0.0,2.4618802153517008,2.4618802153517008,1.0,1.0,0.0,1.0,1.0
CH4,manual,5,4,0,0.0,0.0,3.139857080327591,3.139857080327591,1.0,1.0,0.0,1.0,1.0
NH3,manual,4,3,0,0.0,0.0,2.8443619162370184,2.8443619162370184,1.0,1.0,0.0,1.0,1.0
CO2,manual,3,2,0,0.0,0.0,2.7917613293476906,2.7917613293476906,1.0,1.0,0.0,1.0,1.0
C2H4,manual,6,5,0,0.0,0.0027492547229160265,3.7696361440826194,3.7799998340554133,1.002749254722916,1.002749254722916,0.0,1.0,1.0
C6H6,manual,12,12,1,0.3333333333333333,0.002115805429602142,5.481610176863634,5.493208197438805,1.0021158054296022,1.0021158054296022,0.0,1.0,1.0
NaCl,manual,2,1,0,0.0,0.0,1.9211838203770515,1.9211838203770515,1.0,1.0,0.0,1.0,1.0
SiO2,manual,3,2,0,0.0,0.0,2.7917613293476906,2.7917613293476906,1.0,1.0,0.0,1.0,1.0
chain_C3,manual_ref,3,2,0,0.0,0.0,2.7917613293476906,2.7917613293476906,1.0,1.0,0.0,1.0,1.0
K4_C,manual_ref,4,6,3,0.16666666666666666,0.6002979266599565,2.8443619162370184,4.551826477224642,1.6002979266599568,1.6002979266599566,2.220446049250313e-16,1.0,1.0
grow_tree_C_0,grower_tree,23,22,0,1.2727272727272727,0.000714107485179614,7.543343260955602,7.548730018841529,1.0007141074851795,1.0007141074851795,0.0,1.0,1.0
grow_tree_O_1,grower_tree,8,7,0,0.0,0.00241455004911858,5.034014879902045,5.046169760777577,1.0024145500491186,1.0024145500491186,0.0,1.0,1.0
grow_tree_Si_2,grower_tree,3,2,0,0.0,0.0,2.4618802153517008,2.4618802153517008,1.0,1.0,0.0,1.0,1.0
grow_tree_N_3,grower_tree,20,19,0,0.631578947368421,0.002625064610120433,7.001146740193108,7.0195252027310495,1.0026250646101205,1.0026250646101205,0.0,1.0,1.0
grow_tree_Cl_4,grower_tree,2,1,0,0.0,0.0,1.9211838203770515,1.9211838203770515,1.0,1.0,0.0,1.0,1.0
grow_tree_C_5,grower_tree,14,13,0,0.3076923076923077,0.005132724681844484,6.043914756461977,6.074936506907433,1.0051327246818444,1.0051327246818444,0.0,1.0,1.0
grow_tree_O_6,grower_tree,9,8,0,0.0,0.00051209997794643,5.9106841398207655,5.913711001038416,1.0005120999779464,1.0005120999779464,0.0,1.0,1.0
grow_tree_Si_7,grower_tree,3,2,0,0.0,0.0,2.4618802153517008,2.4618802153517008,1.0,1.0,0.0,1.0,1.0
grow_tree_N_8,grower_tree,4,3,0,0.0,1.609865496126852e-08,3.09311479667057,3.0931148464655576,1.0000000160986549,1.0000000160986549,0.0,1.0,1.0
grow_loopy_C_0,grower_loopy,21,22,2,1.4090909090909092,0.019093974963810274,6.662087504229506,6.789293236241978,1.0190939749638104,1.0190939749638104,0.0,1.0,1.0
grow_loopy_O_1,grower_loopy,2,1,0,0.0,0.0,1.9211838203770515,1.9211838203770515,1.0,1.0,0.0,1.0,1.0
grow_loopy_Si_2,grower_loopy,5,7,3,0.14285714285714285,0.3481436266916275,3.3380136975487065,4.500121892159643,1.3481436266916276,1.3481436266916276,0.0,1.0,1.0
grow_loopy_N_3,grower_loopy,25,27,3,1.962962962962963,0.0035430073115358574,7.421581585724289,7.447876303543485,1.0035430073112415,1.003543007311536,-2.944311461305915e-13,1.0,1.0
grow_loopy_C_5,grower_loopy,17,19,3,0.5263157894736842,0.061754154479964046,6.289168452056925,6.677550732042898,1.0617541544556577,1.061754154479964,-2.4306334722723477e-11,1.0,1.0
grow_loopy_Si_7,grower_loopy,7,9,3,0.0,0.1051027054376837,4.135348284204394,4.5699845768013585,1.1051027054376836,1.1051027054376836,0.0,1.0,1.0
grow_loopy_N_8,grower_loopy,10,12,3,0.3333333333333333,0.05979058218343319,5.135457644015605,5.44250964632966,1.0597905821834332,1.0597905821834332,0.0,1.0,1.0
