seed,role,n_trials,n_trees,frac_trees,n_mean,C_mean,C_norm_mean,C_norm_std
Li,terminator,100,28,0.28,8.071428571428571,3.4970427382602876,0.1282967028742145,0.009331818186952685
Na,terminator,100,30,0.3,6.233333333333333,2.4015595980057785,0.1278620179673674,0.008624501161314977
K,terminator,100,33,0.33,6.212121212121212,2.4673981151912656,0.12956010764770098,0.009077704268689656
Be,bridge,100,92,0.92,7.978260869565218,3.4017522890442886,0.12623626392704088,0.008483005050072536
Mg,bridge,100,92,0.92,7.9021739130434785,3.3798301009318834,0.1262867049926238,0.008837016937569544
Ca,bridge,100,90,0.9,8.944444444444445,3.9034184014815954,0.12442435006867722,0.008736883125491673
C,hub,100,100,1.0,18.08,9.321391543478194,0.11907261616504312,0.00435691654713436
N,hub,100,100,1.0,15.44,7.629468354800121,0.11887602186851444,0.00430923662543477
O,bridge,100,82,0.82,8.804878048780488,3.8104992463536886,0.12459682495984532,0.008461101667664369
Si,hub,100,100,1.0,17.31,8.827504008748287,0.11898831881892859,0.003996728831120996
P,hub,100,100,1.0,14.61,7.134908982999865,0.11909807817168161,0.004977666209048913
S,bridge,100,91,0.91,9.747252747252746,4.361660779663254,0.12402963730207966,0.008215996585775126
