R0,a,V0,cost,magic_N
4,1,40,7636,8 20 40 112 142 184 214 256 286 328
4,1,55,21640,8 20 112 142 184 214 256 286 328 358
4,0.4,40,72344,8 112 184 214 256 286 328 358 400 430
4,0.4,55,72344,8 112 184 214 256 286 328 358 400 430
4,0.4,70,72344,8 112 184 214 256 286 328 358 400 430
5,0.7,40,72344,8 112 184 214 256 286 328 358 400 430
5,0.7,55,72344,8 112 184 214 256 286 328 358 400 430
5,0.7,70,72344,8 112 184 214 256 286 328 358 400 430
6,0.7,40,72344,8 112 184 214 256 286 328 358 400 430
6,0.7,55,72344,8 112 184 214 256 286 328 358 400 430
6,0.7,70,72344,8 112 184 214 256 286 328 358 400 430
7,0.7,40,72344,8 112 184 214 256 286 328 358 400 430
7,0.7,55,72344,8 112 184 214 256 286 328 358 400 430
7,0.7,70,72344,8 112 184 214 256 286 328 358 400 430
7,1,40,72344,8 112 184 214 256 286 328 358 400 430
5,0.4,40,80408,92 112 184 214 256 286 328 358 400 430
5,0.4,55,80408,92 112 184 214 256 286 328 358 400 430
5,0.4,70,80408,92 112 184 214 256 286 328 358 400 430
6,0.4,40,80408,92 112 184 214 256 286 328 358 400 430
6,0.4,55,80408,92 112 184 214 256 286 328 358 400 430
6,0.4,70,80408,92 112 184 214 256 286 328 358 400 430
7,0.4,40,80408,92 112 184 214 256 286 328 358 400 430
7,0.4,55,80408,92 112 184 214 256 286 328 358 400 430
7,0.4,70,80408,92 112 184 214 256 286 328 358 400 430
4,0.7,40,91548,112 142 184 214 256 286 328 358 400 430
4,0.7,55,91548,112 142 184 214 256 286 328 358 400 430
4,0.7,70,91548,112 142 184 214 256 286 328 358 400 430
4,1,70,91548,112 142 184 214 256 286 328 358 400 430
5,1,40,91548,112 142 184 214 256 286 328 358 400 430
5,1,55,91548,112 142 184 214 256 286 328 358 400 430
5,1,70,91548,112 142 184 214 256 286 328 358 400 430
6,1,40,91548,112 142 184 214 256 286 328 358 400 430
6,1,55,91548,112 142 184 214 256 286 328 358 400 430
6,1,70,91548,112 142 184 214 256 286 328 358 400 430
7,1,55,91548,112 142 184 214 256 286 328 358 400 430
7,1,70,91548,112 142 184 214 256 286 328 358 400 430
