Z,gap_sp
1,0.15308381435328755
2,0.2716660554871666
3,0.3797244741486452
4,0.4803050258567225
5,0.5748648333627315
6,0.6643215358670176
7,0.7493305852214718
8,0.8303938355445908
9,0.9079125091412763
10,0.9822169313525606
11,1.0535849103401205
12,1.1222539091451011
13,1.1884295303720336
14,1.2522916673513294
15,1.3139991035768332
16,1.3736930386691242
17,1.431499847447192
18,1.4875332763390432
19,1.5418962176577864
20,1.5946821610748287
21,1.6459763941685068
22,1.6958570051098931
23,1.7443957273599366
24,1.7916586567907302
25,1.8377068647693235
26,1.8825969256162907
27,1.9263813730433341
28,1.969109097213888
29,2.0108256918571286
30,2.051573759077435
