Z,gap_sp
1,0.15308381438237006
2,0.2716660555234398
3,0.37972447418618316
4,0.48030502589247703
5,0.5748648333948054
6,0.6643215358937482
7,0.7493305852420988
8,0.8303938355585387
9,0.9079125091484102
10,0.9822169313525606
11,1.0535849103326882
12,1.1222539091302295
13,1.188429530349822
14,1.2522916673214937
15,1.313999103539473
16,1.3736930386253121
17,1.4314998473957132
18,1.4875332762804092
19,1.5418962175921536
20,1.594682161002737
21,1.645976394089871
22,1.6958570050249264
23,1.744395727268106
24,1.7916586566928885
25,1.837706864664895
26,1.8825969255058865
27,1.926381372927274
28,1.9691090970922787
29,2.0108256917302114
30,2.0515737589454375
