Scenario,Seed,Avg_Complexity,Max_Complexity,Avg_Size,Max_Size
Donor-only,Li,1.2426299395437457,11.211010307293243,3.32,21
Donor-only,Na,0.6740994921265111,7.815228446715517,2.22,16
Donor-only,K,1.2129941294990774,7.815228446715517,3.44,16
Donor-only,Be,3.838426523660516,12.768584800847663,8.8,24
Donor-only,Mg,3.003538660004732,14.077815939852641,7.16,25
Donor-only,Ca,2.3489064082229953,7.165713832653303,6.12,15
Acceptor-only,C,8.072514744621747,14.175741716310904,16.18,25
Acceptor-only,N,7.124989950106429,13.784038610477849,14.48,25
Acceptor-only,O,3.7551840269343177,13.784038610477849,8.62,25
Acceptor-only,F,0.8058734495894009,7.64083012516794,2.56,16
Acceptor-only,Si,9.238497967408012,13.979890163394375,18.0,25
Acceptor-only,P,6.229052258830834,13.881964386936113,13.18,25
Acceptor-only,S,2.847932283322115,10.51382013736732,7.02,20
Acceptor-only,Cl,0.6881204912840181,14.175741716310904,2.1,25
Mixed,C,8.203594181761094,14.077815939852641,16.4,25
Mixed,N,6.337873753085435,14.077815939852641,13.36,25
Mixed,O,4.144748777596193,13.784038610477849,9.38,25
Mixed,Si,7.996108704056618,14.175741716310904,16.08,25
Mixed,P,7.174432496242222,13.881964386936113,14.64,25
Mixed,S,3.7236503480348957,12.43775202269609,8.56,23
