R_well,V0,cost,magic_N
3.0,35.0,16144.0,256
3.0,40.0,16144.0,256
3.5,25.0,16144.0,256
3.5,30.0,16144.0,256
4.0,25.0,16144.0,256
3.0,45.0,17739.0,256 328
3.0,50.0,17739.0,256 328
3.5,35.0,17739.0,256 328
3.0,55.0,18019.61,256 328 358
3.5,40.0,18019.61,256 328 358
4.0,30.0,18019.61,256 328 358
4.5,25.0,18019.61,256 328 358
3.0,60.0,18191.12020408163,256 328 358 400
3.5,45.0,18191.12020408163,256 328 358 400
3.5,50.0,18191.12020408163,256 328 358 400 430
4.0,35.0,18191.12020408163,256 328 358 400
4.5,30.0,18191.12020408163,256 328 358 400
3.5,55.0,29050.190051020407,328 358 400 430
3.5,60.0,29050.190051020407,328 358 400 430 472
4.0,40.0,29050.190051020407,328 358 400 430
4.0,45.0,29050.190051020407,328 358 400 430 472
4.0,50.0,29050.190051020407,328 358 400 430 472 500
4.0,55.0,29050.190051020407,328 358 400 430 472 500 536
4.0,60.0,29050.190051020407,328 358 400 430 472 500 536
4.5,35.0,29050.190051020407,328 358 400 430 472
4.5,40.0,29050.190051020407,328 358 400 430 472 500
4.5,45.0,29050.190051020407,328 358 400 430 472 500 536
4.5,50.0,29050.190051020407,328 358 400 430 472 500 536 554
4.5,55.0,29050.190051020407,328 358 400 430 472 500 536 554
4.5,60.0,29050.190051020407,328 358 400 430 472 500 536 554
5.0,25.0,29050.190051020407,328 358 400 430
5.0,30.0,29050.190051020407,328 358 400 430 472
5.0,35.0,29050.190051020407,328 358 400 430 472 500 536
5.5,25.0,29050.190051020407,328 358 400 430 472
5.5,30.0,29050.190051020407,328 358 400 430 472 500 536
5.0,40.0,29641.698979591838,328 400 430 472 500 536 554
5.0,45.0,29641.698979591838,328 400 430 472 500 536 554
5.0,50.0,29641.698979591838,328 400 430 472 500 536 554
5.0,55.0,29641.698979591838,328 400 430 472 500 536 554
5.0,60.0,29641.698979591838,328 400 430 472 500 536 554
5.5,35.0,29641.698979591838,328 400 430 472 500 536 554
5.5,40.0,29641.698979591838,328 400 430 472 500 536 554
5.5,45.0,29641.698979591838,328 400 430 472 500 536 554
5.5,50.0,29641.698979591838,328 400 430 472 500 536 554
5.5,55.0,29641.698979591838,328 400 430 472 500 536 554
5.5,60.0,29641.698979591838,328 400 430 472 500 536 554
6.0,25.0,29641.698979591838,328 400 430 472 500 536
6.0,30.0,29641.698979591838,328 400 430 472 500 536 554
6.0,35.0,29641.698979591838,328 400 430 472 500 536 554
6.0,40.0,29641.698979591838,328 400 430 472 500 536 554
6.0,45.0,29641.698979591838,328 400 430 472 500 536 554
6.0,50.0,29641.698979591838,328 400 430 472 500 536 554
6.0,55.0,29641.698979591838,328 400 430 472 500 536 554
6.0,60.0,29641.698979591838,328 400 430 472 500 536 554
6.5,25.0,29641.698979591838,328 400 430 472 500 536 554
6.5,30.0,29641.698979591838,328 400 430 472 500 536 554
6.5,35.0,29641.698979591838,328 400 430 472 500 536 554
6.5,40.0,29641.698979591838,328 400 430 472 500 536 554
6.5,45.0,29641.698979591838,328 400 430 472 500 536 554
6.5,50.0,29641.698979591838,328 400 430 472 500 536 554
6.5,55.0,29641.698979591838,328 400 430 472 500 536 554
6.5,60.0,29641.698979591838,328 400 430 472 500 536 554
7.0,25.0,29641.698979591838,328 400 430 472 500 536 554
7.0,30.0,29641.698979591838,328 400 430 472 500 536 554
7.0,35.0,29641.698979591838,328 400 430 472 500 536 554
7.0,40.0,29641.698979591838,328 400 430 472 500 536 554
7.0,45.0,29641.698979591838,328 400 430 472 500 536 554
7.0,50.0,29641.698979591838,328 400 430 472 500 536 554
7.0,55.0,29641.698979591838,328 400 430 472 500 536 554
7.0,60.0,29641.698979591838,328 400 430 472 500 536 554
3.0,25.0,inf,
3.0,30.0,inf,
